ACI Sent:   Flight Time (Sec)	DeltaT	  CMDs    X speed(m/s)		Y speed(m/s)	x (m)		y (m)		z (m)	Theta_x (rad)	Theta_y (rad)	Theta_z (rad) 
0.9200	0.0190	568.0    0.0012	0.0251	0.2789 0.2217	-0.7535	-0.0377	-0.1221 -0.0039
0.9400	0.0200	568.0    0.0012	0.0251	0.2789 0.2213	-0.7531	-0.0380	-0.1229 -0.0056
0.9600	0.0200	568.0    0.0012	0.0251	0.2791 0.2209	-0.7533	-0.0393	-0.1254 -0.0077
0.9810	0.0210	568.0    0.0012	0.0251	0.2789 0.2206	-0.7531	-0.0408	-0.1276 -0.0089
1.0000	0.0190	568.0    0.0012	0.0251	0.2792 0.2199	-0.7531	-0.0430	-0.1303 -0.0096
1.0200	0.0200	568.0    0.0012	0.0251	0.2792 0.2194	-0.7532	-0.0454	-0.1335 -0.0094
1.0400	0.0200	568.0    0.0012	0.0251	0.2791 0.2189	-0.7530	-0.0473	-0.1357 -0.0077
1.0610	0.0210	568.0    0.0012	0.0251	0.2790 0.2186	-0.7534	-0.0479	-0.1365 -0.0046
1.0810	0.0200	568.0    0.0012	0.0251	0.2786 0.2186	-0.7535	-0.0487	-0.1362 -0.0008
1.1010	0.0200	568.0    0.0012	0.0251	0.2787 0.2183	-0.7539	-0.0499	-0.1347 0.0034
1.1200	0.0190	568.0    0.0012	0.0251	0.2781 0.2184	-0.7544	-0.0518	-0.1321 0.0080
1.1410	0.0210	568.0    0.0012	0.0251	0.2777 0.2184	-0.7546	-0.0537	-0.1273 0.0128
1.1610	0.0200	568.0    0.0012	0.0251	0.2771 0.2187	-0.7552	-0.0549	-0.1218 0.0169
1.1800	0.0190	568.0    0.0012	0.0251	0.2760 0.2193	-0.7554	-0.0546	-0.1134 0.0208
1.2000	0.0200	568.0    0.0012	0.0251	0.2753 0.2198	-0.7560	-0.0520	-0.1029 0.0244
1.2200	0.0200	568.0    0.0012	0.0251	0.2741 0.2208	-0.7567	-0.0482	-0.0929 0.0273
1.2400	0.0200	568.0    0.0012	0.0251	0.2734 0.2215	-0.7573	-0.0436	-0.0822 0.0294
1.2610	0.0210	568.0    0.0012	0.0251	0.2723 0.2224	-0.7582	-0.0407	-0.0745 0.0301
1.2800	0.0190	568.0    0.0012	0.0251	0.2717 0.2232	-0.7587	-0.0398	-0.0681 0.0295
1.3010	0.0210	568.0    0.0012	0.0251	0.2712 0.2235	-0.7597	-0.0406	-0.0664 0.0278
1.3200	0.0190	568.0    0.0012	0.0251	0.2708 0.2241	-0.7604	-0.0410	-0.0645 0.0261
1.3400	0.0200	568.0    0.0012	0.0251	0.2707 0.2247	-0.7611	-0.0398	-0.0640 0.0241
1.3610	0.0210	568.0    0.0012	0.0251	0.2703 0.2256	-0.7619	-0.0362	-0.0640 0.0227
1.3810	0.0200	568.0    0.0012	0.0251	0.2702 0.2266	-0.7622	-0.0315	-0.0639 0.0218
1.4010	0.0200	568.0    0.0012	0.0251	0.2700 0.2273	-0.7624	-0.0269	-0.0641 0.0215
1.4200	0.0190	568.0    0.0012	0.0251	0.2701 0.2282	-0.7622	-0.0241	-0.0667 0.0208
1.4400	0.0200	568.0    0.0012	0.0251	0.2705 0.2285	-0.7618	-0.0231	-0.0692 0.0197
1.4600	0.0200	568.0    0.0012	0.0251	0.2709 0.2289	-0.7616	-0.0238	-0.0733 0.0187
1.4820	0.0220	568.0    0.0012	0.0251	0.2714 0.2290	-0.7609	-0.0254	-0.0770 0.0187
1.5000	0.0180	568.0    0.0012	0.0251	0.2719 0.2291	-0.7606	-0.0271	-0.0802 0.0194
1.5200	0.0200	568.0    0.0012	0.0251	0.2722 0.2294	-0.7602	-0.0289	-0.0830 0.0208
1.5410	0.0210	568.0    0.0012	0.0251	0.2725 0.2295	-0.7600	-0.0308	-0.0843 0.0229
1.5610	0.0200	568.0    0.0012	0.0251	0.2726 0.2301	-0.7597	-0.0319	-0.0826 0.0256
1.5810	0.0200	568.0    0.0012	0.0251	0.2729 0.2305	-0.7595	-0.0330	-0.0807 0.0283
1.6010	0.0200	568.0    0.0012	0.0251	0.2726 0.2308	-0.7597	-0.0342	-0.0787 0.0312
1.6200	0.0190	568.0    0.0012	0.0251	0.2727 0.2313	-0.7596	-0.0363	-0.0764 0.0337
1.6410	0.0210	568.0    0.0012	0.0251	0.2726 0.2314	-0.7596	-0.0384	-0.0747 0.0354
1.6610	0.0200	568.0    0.0012	0.0251	0.2728 0.2319	-0.7595	-0.0411	-0.0745 0.0367
1.6800	0.0190	568.0    0.0012	0.0251	0.2732 0.2321	-0.7595	-0.0428	-0.0750 0.0381
1.7010	0.0210	568.0    0.0012	0.0251	0.2735 0.2326	-0.7595	-0.0435	-0.0757 0.0392
1.7200	0.0190	568.0    0.0012	0.0251	0.2738 0.2330	-0.7595	-0.0431	-0.0758 0.0396
1.7410	0.0210	568.0    0.0012	0.0251	0.2742 0.2334	-0.7598	-0.0415	-0.0760 0.0396
1.7610	0.0200	568.0    0.0012	0.0251	0.2746 0.2340	-0.7599	-0.0395	-0.0760 0.0386
1.7800	0.0190	568.0    0.0012	0.0251	0.2751 0.2344	-0.7599	-0.0374	-0.0760 0.0364
1.8010	0.0210	568.0    0.0012	0.0251	0.2756 0.2349	-0.7599	-0.0358	-0.0763 0.0329
1.8200	0.0190	568.0    0.0012	0.0251	0.2761 0.2351	-0.7595	-0.0346	-0.0768 0.0281
1.8410	0.0210	568.0    0.0012	0.0251	0.2767 0.2349	-0.7595	-0.0343	-0.0805 0.0218
1.8610	0.0200	568.0    0.0012	0.0251	0.2773 0.2350	-0.7591	-0.0332	-0.0819 0.0153
1.8810	0.0200	568.0    0.0012	0.0251	0.2778 0.2348	-0.7588	-0.0314	-0.0836 0.0086
1.9000	0.0190	568.0    0.0012	0.0251	0.2783 0.2349	-0.7589	-0.0288	-0.0863 0.0019
1.9210	0.0210	568.0    0.0012	0.0251	0.2788 0.2349	-0.7587	-0.0250	-0.0891 -0.0045
1.9410	0.0200	568.0    0.0012	0.0251	0.2792 0.2349	-0.7588	-0.0202	-0.0921 -0.0105
1.9610	0.0200	568.0    0.0012	0.0251	0.2793 0.2351	-0.7589	-0.0154	-0.0953 -0.0155
1.9810	0.0200	568.0    0.0012	0.0251	0.2794 0.2352	-0.7590	-0.0108	-0.0972 -0.0204
2.0010	0.0200	568.0    0.0012	0.0251	0.2793 0.2355	-0.7593	-0.0071	-0.0981 -0.0249
2.0210	0.0200	568.0    0.0012	0.0251	0.2792 0.2353	-0.7593	-0.0051	-0.0985 -0.0295
2.0400	0.0190	568.0    0.0012	0.0251	0.2792 0.2351	-0.7596	-0.0046	-0.0990 -0.0344
2.0600	0.0200	568.0    0.0012	0.0251	0.2794 0.2350	-0.7597	-0.0048	-0.1008 -0.0401
2.0800	0.0200	568.0    0.0012	0.0251	0.2795 0.2346	-0.7598	-0.0037	-0.1020 -0.0464
2.1000	0.0200	568.0    0.0012	0.0251	0.2795 0.2345	-0.7599	-0.0014	-0.1041 -0.0541
2.1200	0.0200	568.0    0.0012	0.0251	0.2796 0.2343	-0.7600	0.0031	-0.1055 -0.0616
2.1400	0.0200	568.0    0.0012	0.0251	0.2797 0.2345	-0.7601	0.0087	-0.1068 -0.0698
2.1600	0.0200	568.0    0.0012	0.0251	0.2798 0.2345	-0.7600	0.0151	-0.1087 -0.0777
2.1810	0.0210	568.0    0.0012	0.0251	0.2800 0.2344	-0.7601	0.0210	-0.1111 -0.0852
2.2010	0.0200	568.0    0.0012	0.0251	0.2801 0.2346	-0.7601	0.0263	-0.1139 -0.0923
2.2220	0.0210	568.0    0.0012	0.0251	0.2806 0.2345	-0.7601	0.0303	-0.1163 -0.0986
2.2410	0.0190	568.0    0.0012	0.0251	0.2809 0.2346	-0.7603	0.0346	-0.1189 -0.1034
2.2610	0.0200	568.0    0.0012	0.0251	0.2814 0.2346	-0.7601	0.0383	-0.1222 -0.1069
2.2810	0.0200	568.0    0.0012	0.0251	0.2820 0.2346	-0.7601	0.0422	-0.1252 -0.1094
2.3020	0.0210	568.0    0.0012	0.0251	0.2824 0.2347	-0.7599	0.0452	-0.1282 -0.1107
2.3200	0.0180	568.0    0.0012	0.0251	0.2831 0.2346	-0.7595	0.0484	-0.1303 -0.1108
2.3410	0.0210	568.0    0.0012	0.0251	0.2835 0.2348	-0.7592	0.0508	-0.1325 -0.1104
2.3610	0.0200	568.0    0.0012	0.0251	0.2840 0.2345	-0.7588	0.0523	-0.1341 -0.1087
2.3810	0.0200	568.0    0.0012	0.0251	0.2843 0.2345	-0.7585	0.0530	-0.1341 -0.1069
2.4010	0.0200	568.0    0.0012	0.0251	0.2844 0.2343	-0.7582	0.0525	-0.1341 -0.1046
2.4210	0.0200	568.0    0.0012	0.0251	0.2847 0.2340	-0.7580	0.0518	-0.1325 -0.1017
2.4400	0.0190	568.0    0.0012	0.0251	0.2846 0.2340	-0.7580	0.0510	-0.1311 -0.0989
2.4610	0.0210	568.0    0.0012	0.0251	0.2847 0.2336	-0.7578	0.0498	-0.1299 -0.0962
2.4820	0.0210	568.0    0.0012	0.0251	0.2846 0.2335	-0.7581	0.0487	-0.1280 -0.0940
2.5010	0.0190	568.0    0.0012	0.0251	0.2843 0.2333	-0.7580	0.0474	-0.1262 -0.0920
2.5200	0.0190	568.0    0.0012	0.0251	0.2842 0.2331	-0.7583	0.0464	-0.1234 -0.0903
2.5410	0.0210	568.0    0.0012	0.0251	0.2837 0.2332	-0.7586	0.0453	-0.1209 -0.0896
2.5610	0.0200	568.0    0.0012	0.0251	0.2834 0.2329	-0.7588	0.0441	-0.1178 -0.0885
2.5810	0.0200	568.0    0.0012	0.0251	0.2831 0.2327	-0.7592	0.0432	-0.1148 -0.0880
2.6000	0.0190	568.0    0.0012	0.0251	0.2828 0.2326	-0.7594	0.0423	-0.1132 -0.0882
2.6210	0.0210	568.0    0.0012	0.0251	0.2825 0.2322	-0.7597	0.0416	-0.1115 -0.0879
2.6400	0.0190	568.0    0.0012	0.0251	0.2822 0.2322	-0.7599	0.0408	-0.1116 -0.0882
2.6610	0.0210	568.0    0.0012	0.0251	0.2825 0.2317	-0.7598	0.0402	-0.1138 -0.0884
2.6810	0.0200	568.0    0.0012	0.0251	0.2827 0.2312	-0.7597	0.0396	-0.1189 -0.0883
2.7010	0.0200	568.0    0.0012	0.0251	0.2832 0.2308	-0.7592	0.0397	-0.1247 -0.0884
2.7200	0.0190	568.0    0.0012	0.0251	0.2837 0.2303	-0.7588	0.0406	-0.1309 -0.0886
2.7410	0.0210	568.0    0.0012	0.0251	0.2837 0.2301	-0.7583	0.0427	-0.1356 -0.0896
2.7610	0.0200	568.0    0.0012	0.0251	0.2843 0.2293	-0.7576	0.0444	-0.1391 -0.0924
2.7810	0.0200	568.0    0.0012	0.0251	0.2843 0.2288	-0.7574	0.0439	-0.1423 -0.0959
2.8020	0.0210	568.0    0.0012	0.0251	0.2845 0.2277	-0.7569	0.0422	-0.1456 -0.1001
2.8210	0.0190	568.0    0.0012	0.0251	0.2844 0.2266	-0.7570	0.0402	-0.1477 -0.1038
2.8410	0.0200	568.0    0.0012	0.0251	0.2841 0.2257	-0.7568	0.0366	-0.1489 -0.1064
2.8600	0.0190	568.0    0.0012	0.0251	0.2841 0.2242	-0.7571	0.0325	-0.1509 -0.1071
2.8810	0.0210	568.0    0.0012	0.0251	0.2838 0.2230	-0.7575	0.0288	-0.1543 -0.1059
2.9010	0.0200	568.0    0.0012	0.0251	0.2837 0.2215	-0.7580	0.0258	-0.1597 -0.1031
2.9210	0.0200	568.0    0.0012	0.0251	0.2833 0.2200	-0.7590	0.0235	-0.1644 -0.0999
2.9410	0.0200	568.0    0.0012	0.0251	0.2826 0.2184	-0.7599	0.0204	-0.1678 -0.0968
2.9610	0.0200	568.0    0.0012	0.0251	0.2821 0.2162	-0.7614	0.0168	-0.1690 -0.0937
2.9810	0.0200	568.0    0.0012	0.0251	0.2806 0.2141	-0.7629	0.0130	-0.1662 -0.0917
3.0020	0.0210	568.0    0.0012	0.0251	0.2787 0.2114	-0.7647	0.0084	-0.1581 -0.0911
3.0210	0.0190	568.0    0.0012	0.0251	0.2763 0.2088	-0.7670	0.0051	-0.1443 -0.0927
3.0410	0.0200	568.0    0.0012	0.0251	0.2732 0.2061	-0.7692	0.0031	-0.1247 -0.0969
3.0610	0.0200	568.0    0.0012	0.0251	0.2699 0.2031	-0.7722	0.0009	-0.1013 -0.1032
